llm,tone,topic,openness,conscientiousness,extraversion,agreeableness,neuroticism
gpt 4-o,friendly,coffee-brewing,4,4,5,5,1
gpt 4-o,friendly,coffee-brewing,4,4,5,5,1
gpt 4-o,friendly,coffee-brewing,5,5,4,5,1
gpt 4-o,friendly,coffee-brewing,4,5,4,5,1
gpt 4-o,friendly,coffee-brewing,4,4,4,5,1
gpt 4-o,formal,coffee-brewing,4,4,4,5,1
gpt 4-o,formal,coffee-brewing,4,5,4,5,1
gpt 4-o,formal,coffee-brewing,4,5,4,5,1
gpt 4-o,formal,coffee-brewing,5,5,4,5,1
gpt 4-o,formal,coffee-brewing,4,5,4,5,1
gpt 4-o,passive-aggressive,coffee-brewing,4,4,4,5,1
gpt 4-o,passive-aggressive,coffee-brewing,3,3,3,4,2
gpt 4-o,passive-aggressive,coffee-brewing,3,4,3,4,2
gpt 4-o,passive-aggressive,coffee-brewing,3,4,3,4,2
gpt 4-o,passive-aggressive,coffee-brewing,3,4,3,4,2
gpt 4-o,critical,coffee-brewing,4,4,4,5,1
gpt 4-o,critical,coffee-brewing,4,3,3,5,1
gpt 4-o,critical,coffee-brewing,3,3,3,5,1
gpt 4-o,critical,coffee-brewing,3,4,3,4,2
gpt 4-o,critical,coffee-brewing,3,3,3,4,1
gemini 2.5 flash,friendly,coffee-brewing,5,5,5,5,1
gemini 2.5 flash,friendly,coffee-brewing,5,5,5,5,1
gemini 2.5 flash,friendly,coffee-brewing,4,5,4,5,1
gemini 2.5 flash,friendly,coffee-brewing,4,5,4,5,1
gemini 2.5 flash,friendly,coffee-brewing,4,4,4,5,1
gemini 2.5 flash,formal,coffee-brewing,4,4,4,5,1
gemini 2.5 flash,formal,coffee-brewing,4,5,4,5,1
gemini 2.5 flash,formal,coffee-brewing,4,5,4,5,1
gemini 2.5 flash,formal,coffee-brewing,5,5,4,5,1
gemini 2.5 flash,formal,coffee-brewing,4,5,4,5,1
gemini 2.5 flash,passive-aggressive,coffee-brewing,4,4,4,5,1
gemini 2.5 flash,passive-aggressive,coffee-brewing,3,3,3,4,2
gemini 2.5 flash,passive-aggressive,coffee-brewing,3,4,3,4,2
gemini 2.5 flash,passive-aggressive,coffee-brewing,3,4,3,4,2
gemini 2.5 flash,passive-aggressive,coffee-brewing,3,4,3,4,2
gemini 2.5 flash,critical,coffee-brewing,3,4,3,4,2
gemini 2.5 flash,critical,coffee-brewing,4,3,3,5,1
gemini 2.5 flash,critical,coffee-brewing,3,3,3,5,1
gemini 2.5 flash,critical,coffee-brewing,3,4,3,4,2
gemini 2.5 flash,critical,coffee-brewing,3,3,3,4,1
claude sonnet 4,friendly,coffee-brewing,4,5,4,5,1
claude sonnet 4,friendly,coffee-brewing,4,4,4,5,1
claude sonnet 4,friendly,coffee-brewing,3,5,4,5,1
claude sonnet 4,friendly,coffee-brewing,3,4,4,5,1
claude sonnet 4,friendly,coffee-brewing,4,4,4,5,1
claude sonnet 4,formal,coffee-brewing,4,5,3,4,1
claude sonnet 4,formal,coffee-brewing,4,5,3,4,1
claude sonnet 4,formal,coffee-brewing,4,5,4,4,1
claude sonnet 4,formal,coffee-brewing,4,5,3,4,1
claude sonnet 4,formal,coffee-brewing,4,5,3,4,1
claude sonnet 4,passive-aggressive,coffee-brewing,3,3,4,5,1
claude sonnet 4,passive-aggressive,coffee-brewing,3,3,4,5,1
claude sonnet 4,passive-aggressive,coffee-brewing,3,3,4,5,1
